doi,title,year,oa_status,estimated_downloadable
10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield by Reducing the Nitrogen Loss Compared with Urea",2022,gold_oa,yes
10.12692/ijb/6.12.81-89,"Use of coal derived humic acid as soil conditioner for soil physical properties and its impact on wheat crop yield",2015,unknown,unknown
10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut: A Three-Year Experiment",2019,gold_oa,yes
10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought and phosphorus deficiency stress in maize",2020,gold_oa,yes
10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,gold_oa,yes
10.21271/zjpas.33.6.8,"Influence of cultivars plant geometry humic acid and their interactions on growth and yield of Niger crop",2021,bronze_oa,yes
10.1007/s11368-015-1186-3,"Effects of applying flue gas desulfurization gypsum and humic acid on soil physicochemical properties and rapeseed yield of a saline-sodic cropland",2015,closed,no
10.4141/s99-058,"Response of canola wheat and green beans to leonardite additions",2000,bronze_oa,yes
10.1038/s41598-020-63925-5,"Effect of water soluble humic acid applied to potato foliage on plant growth photosynthesis characteristics and fresh tuber yield under different water deficits",2020,gold_oa,yes
10.1016/j.jclepro.2019.06.241,"Evaluation of common bean seed yield and essential oils from fennel and dragonhead in intercropping system under humic acid application",2019,closed,no
10.1007/s11540-010-9177-7,"Influence of Humic Products on Soil Health and Potato Production",2010,closed,no
10.1371/journal.pone.0189715,"Responses of root physiological characteristics and yield of sweet potato to humic acid urea fertilizer",2017,gold_oa,yes
10.1080/01904167.2015.1109106,"Effect of humic acid multinutrient fertilizers on yield and nutrient use efficiency of potato",2015,closed,no
10.5897/sre10.1153,"The effect of different humic acid fertilization on yield and yield components performances of common millet",2011,gold_oa,yes
10.21273/hortsci.45.6.906,"Humic Substances Generally Ineffective in Improving Vegetable Crop Nutrient Uptake or Productivity",2010,closed,no
10.1081/css-120015906,"Effect of Different Levels of Lignitic Coal Derived Humic Acid on Growth of Maize Plants",2002,closed,no
10.20546/ijcmas.2016.511.078,"Effect of Foliar Application with Humic Acid Substances under Nitrogen Fertilization Levels on Quality and Yields of Sugar Beet Plant",2016,gold_oa,yes
10.3390/agronomy12081919,"The Positive Effects of Humic/Fulvic Acid Fertilizers on the Quality of Lemon Fruits",2022,gold_oa,yes
10.4067/s0718-58392013000400002,"Humic acid and cultivar effects on growth yield vase life and corm characteristics of gladiolus",2013,gold_oa,yes
10.3906/tar-1406-59,"Growth yield and calcium and boron uptake of tomato and cucumber as affected by calcium and boron humate application in greenhouse conditions",2015,gold_oa,yes
10.1002/agj2.20482,"Physiological effects of humic acid in peanut growing in continuous cropping soil",2020,closed,no
10.1016/j.geoderma.2018.12.014,"Effect of bentonite-humic acid application on the improvement of soil structure and maize yield in a sandy soil of a semi-arid region",2018,closed,no
10.28983/asj.y2022i3pp19-22,"The value of mineral fertilizers and products based on humic acids in the yield increasing of forage crops on the soils of the arid Volga region",2022,gold_oa,yes
10.4141/s99-058,"Response of canola wheat and green beans to leonardite additions",2000,bronze_oa,yes
10.9734/ijpss/2020/v32i1230353,"Effects of Mono-Ammonium Phosphate and K-Humate Applications on Grain Yield and Phosphorus Uptake Efficiency of Bread Wheat",2020,gold_oa,yes
