gt_row_id,paper_id,verdict,ai_row_id,basis,confidence
gt__001_Ma_2007__r1458,001_Ma_2007,MATCH,001_Ma_2007__ai__3,"Table 2 grain Ca, Yitpi, eCO2 550/aCO2 384, year 2008; matched to AI pooled/main-effect Ca row (TOS-pooled), which is the single value Loladze recorded per element-year rather than the duplicated per-TOS single_cell rows",high
gt__001_Ma_2007__r1459,001_Ma_2007,MATCH,001_Ma_2007__ai__21,"Table 2 grain Ca, Yitpi, year 2009; AI pooled main-effect Ca y2009",high
gt__001_Ma_2007__r1460,001_Ma_2007,MATCH,001_Ma_2007__ai__0,"Table 2 grain Fe, Yitpi, year 2008; AI pooled main-effect Fe y2008",high
gt__001_Ma_2007__r1461,001_Ma_2007,MATCH,001_Ma_2007__ai__18,"Table 2 grain Fe, Yitpi, year 2009; AI pooled main-effect Fe y2009",high
gt__001_Ma_2007__r1462,001_Ma_2007,MATCH,001_Ma_2007__ai__2,"Table 2 grain S, Yitpi, year 2008; AI pooled main-effect S y2008",high
gt__001_Ma_2007__r1463,001_Ma_2007,MATCH,001_Ma_2007__ai__20,"Table 2 grain S, Yitpi, year 2009; AI pooled main-effect S y2009",high
gt__001_Ma_2007__r1464,001_Ma_2007,MATCH,001_Ma_2007__ai__1,"Table 2 grain Zn, Yitpi, year 2008; AI pooled main-effect Zn y2008",high
gt__001_Ma_2007__r1465,001_Ma_2007,MATCH,001_Ma_2007__ai__19,"Table 2 grain Zn, Yitpi, year 2009; AI pooled main-effect Zn y2009",high
gt__001_Ma_2007__r1472,001_Ma_2007,MATCH,001_Ma_2007__ai__5,"Table 2 grain N (Grain N uptake -> N), Yitpi, year 2008; AI pooled main-effect N y2008",med
gt__001_Ma_2007__r1473,001_Ma_2007,MATCH,001_Ma_2007__ai__23,"Table 2 grain N, Yitpi, year 2009; AI pooled main-effect N y2009",med
gt__002_Ziska_1997__r610,002_Ziska_1997,MATCH,002_Ziska_1997__ai__1,"Table 4 grain Ca, IR 72; GT eCO2=663/aCO2=367 matches AI +300 uL/L level (~665 ppm) eco2_300_amb_369, not the +200 level",high
gt__002_Ziska_1997__r611,002_Ziska_1997,MATCH,002_Ziska_1997__ai__3,"Table 4 grain K, IR 72; GT eCO2=663 matches AI +300 level eco2_300_amb_369",high
gt__003_Baslam_2012__r361,003_Baslam_2012,MATCH,003_Baslam_2012__ai__1,"Table 2 leaf C, BRM cultivar, inner NM leaves, eCO2 700/aCO2 392; AI brm__inner_nm C",high
gt__003_Baslam_2012__r362,003_Baslam_2012,MATCH,003_Baslam_2012__ai__16,"Table 2 leaf Ca, BRM inner NM; AI brm__inner_nm Ca",high
gt__003_Baslam_2012__r363,003_Baslam_2012,MATCH,003_Baslam_2012__ai__47,"Table 2 leaf Cu, BRM inner NM; AI brm__inner_nm Cu (Cu only extracted as inner_nm)",high
gt__003_Baslam_2012__r364,003_Baslam_2012,MATCH,003_Baslam_2012__ai__60,"Table 2 leaf Fe, BRM inner NM; AI brm__inner_nm Fe",high
gt__003_Baslam_2012__r365,003_Baslam_2012,MATCH,003_Baslam_2012__ai__24,"Table 2 leaf K, BRM inner NM; AI brm__inner_nm K",high
gt__003_Baslam_2012__r366,003_Baslam_2012,MATCH,003_Baslam_2012__ai__40,"Table 2 leaf Mg, BRM inner NM; AI brm__inner_nm Mg",high
gt__003_Baslam_2012__r367,003_Baslam_2012,MATCH,003_Baslam_2012__ai__68,"Table 2 leaf Mn, BRM inner NM; AI brm__inner_nm Mn",high
gt__003_Baslam_2012__r368,003_Baslam_2012,MATCH,003_Baslam_2012__ai__9,"Table 2 leaf N, BRM inner NM; AI brm__inner_nm N",high
gt__003_Baslam_2012__r369,003_Baslam_2012,MATCH,003_Baslam_2012__ai__32,"Table 2 leaf P, BRM inner NM; AI brm__inner_nm P",high
gt__003_Baslam_2012__r370,003_Baslam_2012,MATCH,003_Baslam_2012__ai__52,"Table 2 leaf Zn, BRM inner NM; AI brm__inner_nm Zn",high
gt__003_Baslam_2012__r377,003_Baslam_2012,MATCH,003_Baslam_2012__ai__5,"Table 2 leaf C, MV cultivar, inner NM; AI mv__inner_nm C",high
gt__003_Baslam_2012__r378,003_Baslam_2012,MATCH,003_Baslam_2012__ai__20,"Table 2 leaf Ca, MV inner NM; AI mv__inner_nm Ca",high
gt__003_Baslam_2012__r379,003_Baslam_2012,MATCH,003_Baslam_2012__ai__49,"Table 2 leaf Cu, MV inner NM; AI mv__inner_nm Cu",high
gt__003_Baslam_2012__r380,003_Baslam_2012,MATCH,003_Baslam_2012__ai__64,"Table 2 leaf Fe, MV inner NM; AI mv__inner_nm Fe",high
gt__003_Baslam_2012__r381,003_Baslam_2012,MATCH,003_Baslam_2012__ai__28,"Table 2 leaf K, MV inner NM; AI mv__inner_nm K",high
gt__003_Baslam_2012__r382,003_Baslam_2012,MATCH,003_Baslam_2012__ai__44,"Table 2 leaf Mg, MV inner NM; AI mv__inner_nm Mg",high
gt__003_Baslam_2012__r383,003_Baslam_2012,MATCH,003_Baslam_2012__ai__72,"Table 2 leaf Mn, MV inner NM; AI mv__inner_nm Mn",high
gt__003_Baslam_2012__r384,003_Baslam_2012,MATCH,003_Baslam_2012__ai__13,"Table 2 leaf N, MV inner NM; AI mv__inner_nm N",high
gt__003_Baslam_2012__r385,003_Baslam_2012,MATCH,003_Baslam_2012__ai__36,"Table 2 leaf P, MV inner NM; AI mv__inner_nm P",high
gt__003_Baslam_2012__r386,003_Baslam_2012,MATCH,003_Baslam_2012__ai__56,"Table 2 leaf Zn, MV inner NM; AI mv__inner_nm Zn",high
gt__004_Finzi_2001__r10,004_Finzi_2001,MATCH,004_Finzi_2001__ai__73,"Acer rubrum foliar C, 1998; only C source is Table 3 leaf-litter carbon; AI acer_rubrum C y1998",med
gt__004_Finzi_2001__r11,004_Finzi_2001,MATCH,004_Finzi_2001__ai__34,"Acer rubrum foliar N, 1998; Loladze foliar=green leaf; AI green-leaf N acer y1998",high
gt__004_Finzi_2001__r12,004_Finzi_2001,MATCH,004_Finzi_2001__ai__35,"Acer rubrum foliar P, 1998; AI green-leaf P acer y1998",high
gt__004_Finzi_2001__r134,004_Finzi_2001,MATCH,004_Finzi_2001__ai__67,"Cercis canadensis foliar C, 1998; Table 3 leaf-litter carbon; AI cercis C y1998",med
gt__004_Finzi_2001__r135,004_Finzi_2001,MATCH,004_Finzi_2001__ai__22,"Cercis canadensis foliar N, 1998; AI green-leaf N cercis y1998",high
gt__004_Finzi_2001__r136,004_Finzi_2001,MATCH,004_Finzi_2001__ai__23,"Cercis canadensis foliar P, 1998; AI green-leaf P cercis y1998",high
gt__004_Finzi_2001__r176,004_Finzi_2001,MATCH,004_Finzi_2001__ai__70,"Cornus florida foliar C, 1998; Table 3 leaf-litter carbon; AI cornus C y1998",med
gt__004_Finzi_2001__r177,004_Finzi_2001,MATCH,004_Finzi_2001__ai__28,"Cornus florida foliar N, 1998; AI green-leaf N cornus y1998",high
gt__004_Finzi_2001__r178,004_Finzi_2001,MATCH,004_Finzi_2001__ai__29,"Cornus florida foliar P, 1998; AI green-leaf P cornus y1998",high
gt__004_Finzi_2001__r413,004_Finzi_2001,MATCH,004_Finzi_2001__ai__76,"Liquidambar styraciflua foliar C, 1998; Table 3 leaf-litter carbon; AI liquidambar C y1998",med
gt__004_Finzi_2001__r414,004_Finzi_2001,MATCH,004_Finzi_2001__ai__40,"Liquidambar foliar N, 1998; AI green-leaf N liquidambar y1998",high
gt__004_Finzi_2001__r415,004_Finzi_2001,MATCH,004_Finzi_2001__ai__41,"Liquidambar foliar P, 1998; AI green-leaf P liquidambar y1998",high
gt__004_Finzi_2001__r813,004_Finzi_2001,MATCH,004_Finzi_2001__ai__79,"Pinus taeda foliar C, 1998; Table 3 leaf-litter carbon; AI pinus_taeda C y1998",med
gt__004_Finzi_2001__r814,004_Finzi_2001,NO_MATCH,,"GT is Pinus taeda foliar N pooled 'avg new & old' 1998; AI extracted only old-leaf pine green-leaf N (pinus_taeda__old_leaves), no new-leaf or new+old average cell",high
gt__004_Finzi_2001__r815,004_Finzi_2001,NO_MATCH,,GT is Pinus taeda foliar P pooled 'avg new & old' 1998; AI only has old-leaf pine green-leaf P,high
gt__005_Niinemets_1999__r890,005_Niinemets_1999,AMBIGUOUS,,"Quercus suber foliar Ca, eCO2 700/aCO2 350. GT flagged as undeterminable collision: two GT Ca rows (r890,r891) share canonical key with no recoverable N-level. AI has distinct Ca highN (ai__3, Table 1) and Ca lowN (ai__29, Table 1a) cells, but GT cannot be assigned to either without the N-level coordinate",low
gt__005_Niinemets_1999__r891,005_Niinemets_1999,AMBIGUOUS,,"Quercus suber foliar Ca, second of the two colliding GT Ca rows; candidate AI cells are Ca highN (ai__3) and Ca lowN (ai__29)",low
gt__005_Niinemets_1999__r892,005_Niinemets_1999,AMBIGUOUS,,"Quercus suber foliar K, eCO2 700/aCO2 350; GT flagged collision of two K rows (r892,r893) with no N-level. AI has K highN (ai__5/ai__32) and K lowN (ai__33)",low
gt__005_Niinemets_1999__r893,005_Niinemets_1999,AMBIGUOUS,,"Quercus suber foliar K, second colliding GT K row; candidate AI cells K highN (ai__5/ai__32) and K lowN (ai__33)",low
gt__005_Niinemets_1999__r894,005_Niinemets_1999,MATCH,005_Niinemets_1999__ai__4,"Q. suber foliar Mg, high N; AI Mg highN Table 1 (ai__4; duplicate ai__30 in Table 1a is the same cell)",high
gt__005_Niinemets_1999__r895,005_Niinemets_1999,MATCH,005_Niinemets_1999__ai__31,"Q. suber foliar Mg, low N; AI Mg lowN Table 1a (ai__31)",high
gt__005_Niinemets_1999__r896,005_Niinemets_1999,MATCH,005_Niinemets_1999__ai__0,"Q. suber foliar N, high N; AI N highN Table 1 (ai__0)",high
