all_agree_true_count,claim_disagreement_count,claim_disagreement_type,claim_key,claim_source,claude_dir,claude_dir_set,consensus_confidence,consensus_data_source,consensus_effect_pct,consensus_notes,consensus_support,construct_drift_count,construct_drift_flags,cross_model_direction_agreement,cross_model_direction_set,cross_model_support_n,drift_arm_mismatch,drift_concentration_vs_content,drift_figure_only_target,drift_pooled_vs_subgroup_mismatch,drift_timepoint_mismatch,drift_tissue_mismatch,element,element_mismatch_flag,gemini_dir,gemini_dir_set,has_factorial_structure,has_n,has_tc_confusion,has_variance,high_disagreement_flag,initial_label,is_control_paper,kimi_dir,kimi_dir_set,label_confidence,label_rationale,pairwise_all_agree_rate_claim,pairwise_claim_available,pairwise_element,pairwise_relaxed_claude_dir_set,pairwise_relaxed_gemini_dir_set,pairwise_relaxed_kimi_dir_set,pairwise_relaxed_row_count,pairwise_relaxed_support_n,pairwise_relaxed_tissues,pairwise_row_count,pairwise_tissue,paper_agreement_fraction,paper_direction_agreement_rate,paper_id,paper_pairwise_all_agree_rate,paper_recon_warning_count,paper_recon_warnings,paper_root_cause,paper_root_cause_confidence,paper_root_cause_note,predicted_label,report_abstract_mentions_n,report_alignment_artifact,report_available,report_averaging_conflict,report_channel_count,report_conclusion_mentions_n,report_coverage_limitation,report_explicit_ai_error,report_factorial_arm_selection_issue,report_factorial_conflict,report_figure_digitization_limit,report_figure_mentions_n,report_gt_issue,report_match_summary_text,report_mentions_abstract,report_mentions_conclusion,report_mentions_figure_evidence,report_mentions_gt_crosscheck,report_mentions_results_text,report_mentions_table_evidence,report_no_concentration_data,report_overall_excellent,report_overall_partial,report_overall_rating_text,report_path,report_results_mentions_n,report_status_skip,report_status_text,report_table_mentions_n,report_timepoint_conflict,report_treatment_arm_confusion,report_wrong_tissue,report_zero_match,risk_flag_count,risk_flags,score_alignment_gap,score_disagreements,score_factorial_or_averaging,score_relaxed_support,score_report_partial,score_report_skip_or_noncomparable,score_report_wrong_tissue_or_arm,score_risk_flags,score_strict_support,score_timepoint_or_figure,swap_risk_flag,tissue,warning_averaging_risk,warning_factorial_risk,warning_figure_only_risk,warning_multi_condition_risk,warning_sparse_recon_risk,warning_tc_confusion_risk,warning_timepoint_risk
1,0,,001_Ma_2007::Ca::grain,consensus_observation,decrease,"[""decrease""]",high,Table 2,-8.1081081081081,Models agree (diff=0.0%),2,0,[],True,"[""decrease""]",3,False,False,False,False,False,False,Ca,False,decrease,"[""decrease""]",True,True,True,False,False,clean_support,False,decrease,"[""decrease""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,1.0,True,Ca,"[""decrease""]","[""decrease""]","[""decrease""]",1,3,"[""grain""]",1,grain,1.0,1.0,001_Ma_2007,0.6667,5,"[""Paper uses [aCO2] for ambient/control and [eCO2] for elevated/treatment - ensure correct assignment"", ""Complex factorial design with CO2 x time of sowing (TOS) interactions - extract main CO2 effects carefully"", ""Data spans two growing seasons (2008, 2009) - may need separate extractions"", ""Percentage changes are calculated as (elevated - ambient)/ambient - verify direction"", ""Some statistical significance varies between years and minerals""]",,,,clean_support,0,False,True,False,2,1,False,False,False,False,False,0,False,"8/8 GT rows matched, MAE = 2.3% (lnRR) — **HIGH QUALITY**",False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\001_Ma_2007_report.md,0,False,,8,False,False,False,False,3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",0,0,1,3,0,0,0,3,3,0,False,grain,False,True,False,False,False,True,False
1,0,,001_Ma_2007::Fe::grain,consensus_observation,decrease,"[""decrease""]",high,Table 2,-10.462287104622881,Models agree (diff=0.0%),2,0,[],True,"[""decrease""]",3,False,False,False,False,False,False,Fe,False,decrease,"[""decrease""]",True,True,True,False,False,clean_support,False,decrease,"[""decrease""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,1.0,True,Fe,"[""decrease""]","[""decrease""]","[""decrease""]",1,3,"[""grain""]",1,grain,1.0,1.0,001_Ma_2007,0.6667,5,"[""Paper uses [aCO2] for ambient/control and [eCO2] for elevated/treatment - ensure correct assignment"", ""Complex factorial design with CO2 x time of sowing (TOS) interactions - extract main CO2 effects carefully"", ""Data spans two growing seasons (2008, 2009) - may need separate extractions"", ""Percentage changes are calculated as (elevated - ambient)/ambient - verify direction"", ""Some statistical significance varies between years and minerals""]",,,,clean_support,0,False,True,False,2,1,False,False,False,False,False,0,False,"8/8 GT rows matched, MAE = 2.3% (lnRR) — **HIGH QUALITY**",False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\001_Ma_2007_report.md,0,False,,8,False,False,False,False,3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",0,0,1,3,0,0,0,3,3,0,False,grain,False,True,False,False,False,True,False
1,0,,001_Ma_2007::S::grain,consensus_observation,decrease,"[""decrease""]",high,Table 2,-9.8360655737705,Models agree (diff=0.0%),2,0,[],True,"[""decrease""]",3,False,False,False,False,False,False,S,False,decrease,"[""decrease""]",True,True,True,False,False,clean_support,False,decrease,"[""decrease""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,1.0,True,S,"[""decrease""]","[""decrease""]","[""decrease""]",1,3,"[""grain""]",1,grain,1.0,1.0,001_Ma_2007,0.6667,5,"[""Paper uses [aCO2] for ambient/control and [eCO2] for elevated/treatment - ensure correct assignment"", ""Complex factorial design with CO2 x time of sowing (TOS) interactions - extract main CO2 effects carefully"", ""Data spans two growing seasons (2008, 2009) - may need separate extractions"", ""Percentage changes are calculated as (elevated - ambient)/ambient - verify direction"", ""Some statistical significance varies between years and minerals""]",,,,clean_support,0,False,True,False,2,1,False,False,False,False,False,0,False,"8/8 GT rows matched, MAE = 2.3% (lnRR) — **HIGH QUALITY**",False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\001_Ma_2007_report.md,0,False,,8,False,False,False,False,3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",0,0,1,3,0,0,0,3,3,0,False,grain,False,True,False,False,False,True,False
1,0,,001_Ma_2007::Zn::grain,consensus_observation,decrease,"[""decrease""]",high,Table 2,-11.923076923076929,Models agree (diff=0.0%),2,0,[],True,"[""decrease""]",3,False,False,False,False,False,False,Zn,False,decrease,"[""decrease""]",True,True,True,False,False,clean_support,False,decrease,"[""decrease""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,1.0,True,Zn,"[""decrease""]","[""decrease""]","[""decrease""]",1,3,"[""grain""]",1,grain,1.0,1.0,001_Ma_2007,0.6667,5,"[""Paper uses [aCO2] for ambient/control and [eCO2] for elevated/treatment - ensure correct assignment"", ""Complex factorial design with CO2 x time of sowing (TOS) interactions - extract main CO2 effects carefully"", ""Data spans two growing seasons (2008, 2009) - may need separate extractions"", ""Percentage changes are calculated as (elevated - ambient)/ambient - verify direction"", ""Some statistical significance varies between years and minerals""]",,,,clean_support,0,False,True,False,2,1,False,False,False,False,False,0,False,"8/8 GT rows matched, MAE = 2.3% (lnRR) — **HIGH QUALITY**",False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\001_Ma_2007_report.md,0,False,,8,False,False,False,False,3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",0,0,1,3,0,0,0,3,3,0,False,grain,False,True,False,False,False,True,False
0,0,,006_Azam_2013::C::root,consensus_observation,increase,"[""increase""]",high,Table 3,20.819005939356057,Models agree (diff=0.0%),2,0,[],True,"[""increase""]",2,False,False,False,False,False,False,C,False,,[],True,True,True,True,False,clean_support,False,increase,"[""increase""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,0.0,True,C,"[""increase""]","[""increase""]","[""increase""]",2,3,"[""root"", ""root tuber""]",1,root,1.0,1.0,006_Azam_2013,0.0,5,"[""Extremely high CO2 concentration (1000 ppm vs typical 550-700 ppm in most studies)"", ""Mixed variance reporting - some elements show very strong negative effects (-24%) which is unusual"", ""Some positive effects reported for certain minerals (Ca, Mn, Cu) which contradicts typical dilution effect"", ""Single location study with potential local soil/climate effects"", ""Fatty acid and amino acid data performed in singlicates (no statistical analysis)""]",,,,clean_support,0,False,True,False,1,0,False,False,False,False,False,0,True,"25/38 GT matched (66% capture), MAE = 0.39% lnRR",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\006_Azam_2013_report.md,0,False,,8,False,False,False,False,2,"[""factorial_structure"", ""tc_confusion""]",1,0,1,3,0,0,0,2,2,0,False,root,False,True,False,False,False,True,False
0,0,,006_Azam_2013::Ca::root,consensus_observation,decrease,"[""decrease""]",high,Table 3,-10.20408163265306,Models agree (diff=0.0%),2,0,[],True,"[""decrease""]",2,False,False,False,False,False,False,Ca,False,,[],True,True,True,True,False,clean_support,False,decrease,"[""decrease""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,0.0,True,Ca,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""root tuber""]",1,root,1.0,1.0,006_Azam_2013,0.0,5,"[""Extremely high CO2 concentration (1000 ppm vs typical 550-700 ppm in most studies)"", ""Mixed variance reporting - some elements show very strong negative effects (-24%) which is unusual"", ""Some positive effects reported for certain minerals (Ca, Mn, Cu) which contradicts typical dilution effect"", ""Single location study with potential local soil/climate effects"", ""Fatty acid and amino acid data performed in singlicates (no statistical analysis)""]",,,,clean_support,0,False,True,False,1,0,False,False,False,False,False,0,True,"25/38 GT matched (66% capture), MAE = 0.39% lnRR",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\006_Azam_2013_report.md,0,False,,8,False,False,False,False,2,"[""factorial_structure"", ""tc_confusion""]",1,0,1,3,0,0,0,2,2,0,False,root,False,True,False,False,False,True,False
,0,,006_Azam_2013::Cd::root,consensus_observation,,,high,Table 3,4.545454545454549,Models agree (diff=0.0%),2,0,[],,[],0,False,False,False,False,False,False,Cd,False,,,True,True,True,True,False,clean_support,False,,,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,,,,,,,,,,,,1.0,1.0,006_Azam_2013,0.0,5,"[""Extremely high CO2 concentration (1000 ppm vs typical 550-700 ppm in most studies)"", ""Mixed variance reporting - some elements show very strong negative effects (-24%) which is unusual"", ""Some positive effects reported for certain minerals (Ca, Mn, Cu) which contradicts typical dilution effect"", ""Single location study with potential local soil/climate effects"", ""Fatty acid and amino acid data performed in singlicates (no statistical analysis)""]",,,,low_support_uncertain,0,False,True,False,1,0,False,False,False,False,False,0,True,"25/38 GT matched (66% capture), MAE = 0.39% lnRR",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\006_Azam_2013_report.md,0,False,,8,False,False,False,False,2,"[""factorial_structure"", ""tc_confusion""]",0,0,1,0,0,0,0,2,0,0,False,root,False,True,False,False,False,True,False
,0,,006_Azam_2013::Cr::root,consensus_observation,,,high,Table 3,16.0377358490566,Models agree (diff=0.0%),2,0,[],,[],0,False,False,False,False,False,False,Cr,False,,,True,True,True,True,False,clean_support,False,,,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,,,,,,,,,,,,1.0,1.0,006_Azam_2013,0.0,5,"[""Extremely high CO2 concentration (1000 ppm vs typical 550-700 ppm in most studies)"", ""Mixed variance reporting - some elements show very strong negative effects (-24%) which is unusual"", ""Some positive effects reported for certain minerals (Ca, Mn, Cu) which contradicts typical dilution effect"", ""Single location study with potential local soil/climate effects"", ""Fatty acid and amino acid data performed in singlicates (no statistical analysis)""]",,,,low_support_uncertain,0,False,True,False,1,0,False,False,False,False,False,0,True,"25/38 GT matched (66% capture), MAE = 0.39% lnRR",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\006_Azam_2013_report.md,0,False,,8,False,False,False,False,2,"[""factorial_structure"", ""tc_confusion""]",0,0,1,0,0,0,0,2,0,0,False,root,False,True,False,False,False,True,False
0,0,,006_Azam_2013::Cu::root,consensus_observation,increase,"[""increase""]",high,Table 3,16.15384615384615,Models agree (diff=0.0%),2,0,[],True,"[""increase""]",2,False,False,False,False,False,False,Cu,False,,[],True,True,True,True,False,clean_support,False,increase,"[""increase""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,0.0,True,Cu,"[""increase""]","[""increase""]","[""increase""]",2,3,"[""root"", ""root tuber""]",1,root,1.0,1.0,006_Azam_2013,0.0,5,"[""Extremely high CO2 concentration (1000 ppm vs typical 550-700 ppm in most studies)"", ""Mixed variance reporting - some elements show very strong negative effects (-24%) which is unusual"", ""Some positive effects reported for certain minerals (Ca, Mn, Cu) which contradicts typical dilution effect"", ""Single location study with potential local soil/climate effects"", ""Fatty acid and amino acid data performed in singlicates (no statistical analysis)""]",,,,clean_support,0,False,True,False,1,0,False,False,False,False,False,0,True,"25/38 GT matched (66% capture), MAE = 0.39% lnRR",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\006_Azam_2013_report.md,0,False,,8,False,False,False,False,2,"[""factorial_structure"", ""tc_confusion""]",1,0,1,3,0,0,0,2,2,0,False,root,False,True,False,False,False,True,False
0,0,,006_Azam_2013::Fe::root,consensus_observation,decrease,"[""decrease""]",high,Table 3,-18.66969009826152,Models agree (diff=0.0%),2,0,[],True,"[""decrease""]",2,False,False,False,False,False,False,Fe,False,,[],True,True,True,True,False,clean_support,False,decrease,"[""decrease""]",medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,0.0,True,Fe,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""root tuber""]",1,root,1.0,1.0,006_Azam_2013,0.0,5,"[""Extremely high CO2 concentration (1000 ppm vs typical 550-700 ppm in most studies)"", ""Mixed variance reporting - some elements show very strong negative effects (-24%) which is unusual"", ""Some positive effects reported for certain minerals (Ca, Mn, Cu) which contradicts typical dilution effect"", ""Single location study with potential local soil/climate effects"", ""Fatty acid and amino acid data performed in singlicates (no statistical analysis)""]",,,,clean_support,0,False,True,False,1,0,False,False,False,False,False,0,True,"25/38 GT matched (66% capture), MAE = 0.39% lnRR",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\006_Azam_2013_report.md,0,False,,8,False,False,False,False,2,"[""factorial_structure"", ""tc_confusion""]",1,0,1,3,0,0,0,2,2,0,False,root,False,True,False,False,False,True,False
