row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
ali__ai__0,ai,ali,yield,tomato,seaweed,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,25.815,16.779,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum foliar spray every 10 days'; moderators={""cultivar"": ""Hybrid-61"", ""year"": ""Dry season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""tomato""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__1,ai,ali,yield,tomato,seaweed,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,35.814,23.298,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum extract alternating with fungicide (2 AN sprays followed by 1 fungicide spray cycle)'; moderators={""cultivar"": ""Hybrid-61"", ""year"": ""Dry season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""tomato""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__2,ai,ali,yield,tomato,seaweed,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,23.991,12.27,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum foliar spray every 10 days'; moderators={""cultivar"": ""Hybrid-61"", ""year"": ""Wet season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""tomato""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__3,ai,ali,yield,tomato,seaweed,none,0.5%,pooled,single_cell,t/ha,absolute_control,28.684,18.706,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum extract alternating with fungicide'; moderators={""cultivar"": ""Hybrid-61"", ""year"": ""Wet season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""tomato""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__4,ai,ali,yield,sweet_pepper,seaweed,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,36.41,21.204,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum foliar spray every 10 days'; moderators={""cultivar"": ""Amrit"", ""year"": ""Dry season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""sweet pepper""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__5,ai,ali,yield,sweet_pepper,seaweed,none,0.5%,pooled,single_cell,t/ha,absolute_control,45.493,25.601,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum extract alternating with fungicide'; moderators={""cultivar"": ""Amrit"", ""year"": ""Dry season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""sweet pepper""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__6,ai,ali,yield,sweet_pepper,seaweed,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,25.466,12.992,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum foliar spray every 10 days'; moderators={""cultivar"": ""Amrit"", ""year"": ""Wet season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""sweet pepper""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__7,ai,ali,yield,sweet_pepper,seaweed,none,0.5%,pooled,single_cell,t/ha,absolute_control,30.227,20.311,Table 6,0,"element='Fresh fruit yield'; treatment_description='0.5% Ascophyllum nodosum extract alternating with fungicide'; moderators={""cultivar"": ""Amrit"", ""year"": ""Wet season"", ""site"": ""Valencia, Trinidad"", ""crop"": ""sweet pepper""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__11,ai,ali,yield,,seaweed,foliar,0.5%,pooled,single_cell,g,absolute_control,38.3,17.24,Table 2,0,"element='Total plant biomass'; treatment_description='0.5% Ascophyllum nodosum extract (AN) foliar spray'; moderators={""cultivar"": ""Tomato Hybrid-61"", ""site"": ""Greenhouse""}; declared_unit='g'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
ali__ai__15,ai,ali,yield,tomato,other,none,0,pooled,single_cell,kg,absolute_control,258.15,167.79,Table 6,0,"element='Fruit yield'; treatment_description='A. nodosum extract (AN)'; moderators={""crop"": ""Tomato"", ""season"": ""Dry season"", ""site"": ""field""}; declared_unit='kg'; crop_basis=moderator; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
