rank,doi,title,year,decision,intervention_match,comparator_match,outcome_match,reason,adjudication_notes
1,10.3390/agronomy14122763,"The Impact of Humic Acid Fertilizers on Crop Yield and Nitrogen Use Efficiency: A Meta-Analysis",2024,EXCLUDE,YES,YES,YES,"Review/meta-analysis. This is the benchmark paper itself. No primary experiment data.","Config benchmark paper. Excluded by study_type filter."
2,10.1080/01904167.2018.1527932,"Effect of humic acid and fulvic acid based liquid and foliar fertilizers on the yield of wheat crop",2018,UNSURE,PARTIAL,YES,YES,"HA+FA foliar applied to wheat. Yield reported. However HA and FA are co-applied with NPK and micronutrients in a combined liquid formulation. Unclear if HA-only arm exists.","Needs full text. If factorial design has HA-alone arm vs no-HA: INCLUDE. If HA always bundled with other nutrients: EXCLUDE (confounded)."
3,10.1016/j.jclepro.2023.137783,"Straw returning combined with controlled-release nitrogen fertilizer affected organic carbon storage and crop yield by changing humic acid composition and aggregate distribution",2023,EXCLUDE,NO,NO,YES,"HA is a soil response variable measured after straw+CRF application. Intervention is straw incorporation, not HA application. No HA vs no-HA treatment comparison.","Clear exclude: intervention_match=NO."
4,10.5513/jcea01/21.2.2576,"Possibility of increasing early crop potato yield with foliar application of seaweed extracts and humic acids",2020,UNSURE,PARTIAL,YES,YES,"Foliar biostimulants including seaweed AND HA applied to potato. Tuber yield reported. HA not isolated from seaweed extract co-application.","Needs full text to determine if HA-only arm exists in factorial design. Known challenge: biostimulant co-application confound."
5,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield by Reducing the Nitrogen Loss Compared with Urea",2022,INCLUDE,YES,YES,YES,"HA-urea compound fertilizer vs plain urea applied to maize-wheat rotation. HA is the isolated variable (urea without vs with HA). Grain yield and NUE reported. Clear T/C structure.","Standard comparator = urea alone. Acceptable per benchmark spec: HA+NPK vs NPK isolates HA effect."
6,10.12692/ijb/6.12.81-89,"Use of coal derived humic acid as soil conditioner for soil physical properties and its impact on wheat crop yield",2015,INCLUDE,YES,YES,YES,"Coal-derived HA applied at 0-150 kg/ha to wheat on loamy sand. Wheat yield reported with 'valuable increase' at highest rate. HA is isolated treatment variable. Control = 0 kg/ha HA.","Grain yield primary outcome. Dose-response design (multiple rates vs 0 control). Include each rate vs 0 control separately."
7,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut: A Three-Year Experiment",2019,INCLUDE,YES,YES,YES,"3-year field trial. HA fertilizer vs control on peanut. Primary outcomes appear to be soil properties AND yield. Scientific Reports = OA. HA is isolated treatment. Control = no HA.","High confidence INCLUDE. Field setting, HA isolated, peanut yield likely reported. 3-year duration strengthens evidence."
8,10.1186/s40538-017-0089-5,"The role of biostimulants and bioeffectors as alleviators of abiotic stress in crop plants",2017,EXCLUDE,YES,NO,YES,"Review article on biostimulants. No primary experiment. No treatment vs control comparison.","Exclude: study_type=review."
9,10.3390/agronomy9060335,"Plant Biostimulants: Importance of the Quality and Yield of Horticultural Crops and the Improvement of Plant Tolerance to Abiotic Stress - A Review",2019,EXCLUDE,YES,NO,YES,"Review article on plant biostimulants. No primary yield data.","Exclude: study_type=review."
10,10.3389/fagro.2022.848621,"Understanding the Role of Humic Acids on Crop Performance and Soil Health",2022,EXCLUDE,YES,NO,YES,"Review synthesizing HA mechanisms. No primary experiment data.","Exclude: study_type=review."
