claim_key,element,initial_label,label_confidence,label_rationale,paper_id,tissue
009_Barnes_1992::Ca::root,Ca,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,root
009_Barnes_1992::Ca::whole,Ca,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,shoot
009_Barnes_1992::K::root,K,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,root
009_Barnes_1992::K::whole,K,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,shoot
009_Barnes_1992::Mg::root,Mg,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,root
009_Barnes_1992::Mg::whole,Mg,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,shoot
009_Barnes_1992::N::root,N,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,root
009_Barnes_1992::N::whole,N,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,shoot
009_Barnes_1992::P::root,P,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,root
009_Barnes_1992::P::whole,P,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,shoot
009_Barnes_1992::S::root,S,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,root
009_Barnes_1992::S::whole,S,likely_alignment_or_structure_problem,high,"Paper/report indicates tissue, arm, or matching/alignment artifacts.",009_Barnes_1992,shoot
010_Li_2010::Al::grain,Al,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::B::grain,B,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::Cd::grain,Cd,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::Fe::grain,Fe,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::K::grain,K,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::Mg::grain,Mg,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::Mo::grain,Mo,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::N::grain,N,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::Pb::grain,Pb,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
010_Li_2010::Si::grain,Si,likely_alignment_or_structure_problem,medium,"Coverage-limited paper, but this specific claim shows disagreement or wrong-tissue/arm structure.",010_Li_2010,grain
