paper_id,report_abstract_mentions_n,report_alignment_artifact,report_available,report_averaging_conflict,report_channel_count,report_channel_weight_abstract,report_channel_weight_conclusion,report_channel_weight_figure,report_channel_weight_results_text,report_channel_weight_table,report_channel_weighted_support,report_conclusion_mentions_n,report_coverage_limitation,report_explicit_ai_error,report_factorial_arm_selection_issue,report_factorial_conflict,report_figure_digitization_limit,report_figure_mentions_n,report_gt_issue,report_match_summary_text,report_mentions_abstract,report_mentions_conclusion,report_mentions_figure_evidence,report_mentions_gt_crosscheck,report_mentions_results_text,report_mentions_table_evidence,report_no_concentration_data,report_overall_excellent,report_overall_partial,report_overall_rating_text,report_path,report_results_mentions_n,report_status_skip,report_status_text,report_table_mentions_n,report_timepoint_conflict,report_treatment_arm_confusion,report_wrong_tissue,report_zero_match
020_Overdieck_1993,0,False,True,False,3,0,1,1,0,3,5,2,False,False,False,False,True,10,False,"32/34 GT rows matched, MAE = 3.0%",False,True,True,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\020_Overdieck_1993_report.md,0,False,,16,False,False,False,False
031_Pal_2003,0,False,True,False,1,0,0,0,0,3,3,0,False,False,False,False,False,0,False,"4/5 GT rows matched, MAE = 1.7%",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\031_Pal_2003_report.md,0,False,,7,False,False,False,False
002_Ziska_1997,0,False,True,False,3,0,1,1,2,3,7,2,False,False,False,True,False,0,False,"2/2 GT rows matched, MAE = 4.1%",False,True,True,True,True,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\002_Ziska_1997_report.md,0,False,,32,False,False,False,False
003_Baslam_2012,0,False,True,False,1,0,0,0,0,3,3,0,False,True,False,True,False,0,True,"18/20 GT rows matched (capture rate: 90%), MAE = 1.04%",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\003_Baslam_2012_report.md,0,False,,8,False,False,False,False
004_Finzi_2001,0,False,True,False,2,0,0,0,2,3,5,0,False,False,False,False,True,0,False,"10/15 GT matched (67% capture rate), MAE = 2.3% on matched rows",False,False,False,True,True,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\004_Finzi_2001_report.md,2,False,,12,False,False,False,False
005_Niinemets_1999,0,False,True,False,1,0,0,0,0,3,3,0,False,False,False,True,False,0,False,"10/10 GT matched, MAE = 0.004% — EXCELLENT",False,False,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\005_Niinemets_1999_report.md,0,False,,3,False,False,False,False
007_Woodin_1992,0,False,True,False,4,0,1,1,2,3,7,1,False,False,False,True,True,16,False,,False,True,True,True,True,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\007_Woodin_1992_report.md,3,False,,2,False,False,False,False
011_Huluka_1994,0,False,True,False,2,0,0,1,2,3,6,0,True,False,False,True,True,10,False,,False,False,True,True,True,True,False,False,False,"TECHNICALLY CORRECT EXTRACTION / WRONG DATE SELECTED. MAE of 18.2% reflects date mismatch, not extraction error. Elements with stable effects (Cu, Zn, P) extracted with high accuracy.",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\011_Huluka_1994_report.md,0,False,,13,True,False,False,False
016_Fernando_2012a,0,False,True,False,3,0,0,1,2,3,6,0,False,False,False,False,True,16,False,"3/6 GT rows matched, MAE = 1.8%",False,False,True,True,True,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\016_Fernando_2012a_report.md,2,False,,1,False,False,False,False
017_Fangmeier_2002,0,True,True,True,2,0,1,0,0,3,4,2,False,False,False,True,True,0,False,"32/32 GT rows matched, MAE = 8.0%",False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\017_Fangmeier_2002_report.md,0,False,,46,True,False,False,False
021_Wilsey_1994,0,True,True,True,3,0,1,1,0,3,5,2,False,False,False,True,False,1,False,"13/13 GT rows matched, MAE = 6.1% (lnRR units: 0.0611)",False,True,True,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\021_Wilsey_1994_report.md,0,False,,14,False,False,False,False
040_Pfirrmann_1996,0,False,True,False,1,0,1,0,0,3,4,1,False,False,False,True,True,0,False,,False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\040_Pfirrmann_1996_report.md,0,False,,41,True,False,False,False
044_Housman_2012,0,False,True,False,2,0,1,0,0,3,4,2,False,False,False,True,True,0,False,"8/8 GT rows matched, MAE = 4.4%",False,True,False,True,False,True,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\044_Housman_2012_report.md,0,False,,18,False,False,False,False
051_Niu_2013,1,False,True,False,3,1,0,1,2,0,4,0,False,True,False,True,True,10,False,,True,False,True,True,True,False,False,False,False,,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\051_Niu_2013_report.md,4,False,,0,False,False,False,False
