gt_row_id,paper_id,verdict,ai_row_id,basis,confidence
gt__bharti_2013__r0,bharti_2013,AMBIGUOUS,,"GT 'Soil' block (study_id=40, obs 206-225, 20 rows) corresponds to AI's 20 even-indexed 'Soil' rows (10 cultivars x 2 years, 2009/2010). GT carries no cultivar/year disambiguator, so the specific AI cell cannot be assigned without guessing.",med
gt__bharti_2013__r1,bharti_2013,AMBIGUOUS,,GT 'Soil' block (study_id=40) maps to AI 20 even-indexed 'Soil' rows (10 cv x 2 yr); no per-row disambiguator in GT.,med
gt__bharti_2013__r2,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r3,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r4,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r5,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r6,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r7,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r8,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r9,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r10,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r11,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r12,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r13,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r14,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r15,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
gt__bharti_2013__r16,bharti_2013,AMBIGUOUS,,GT 'Soil' block maps to AI 'Soil' rows; no per-row disambiguator.,med
