row_id,paper_id,doi,year,outcome_variable,treatment_mean,control_mean,variance_type,variance_value,n,lnRR,pct_change,adjudication_decision,crop_type,study_setting,ha_source,application_method,application_rate_kg_ha,benchmark_alignment,estimand_context,notes
P01_R01,P01,10.3390/agriculture12121996,2022,maize grain yield,9847,9124,SE,187,4,0.0776,8.1%,keep,cereal,field,commercial,fertigation_or_soil,240,benchmark_aligned,standard_field_HA_trial,HAU vs plain urea at same N rate
P01_R02,P01,10.3390/agriculture12121996,2022,wheat grain yield,7312,6895,SE,142,4,0.0591,6.1%,keep,cereal,field,commercial,fertigation_or_soil,180,benchmark_aligned,standard_field_HA_trial,HAU vs plain urea winter wheat
P01_R03,P01,10.3390/agriculture12121996,2022,maize grain yield,9203,9124,SE,201,4,0.0086,0.9%,keep,cereal,field,commercial,fertigation_or_soil,180,benchmark_aligned,standard_field_HA_trial,Lower N rate; minimal HA response
P02_R01,P02,10.1038/s41598-019-48620-4,2019,peanut pod yield year 1,3287,2941,SE,134,3,0.1121,11.8%,keep,legume,field,commercial,soil_drench,75,benchmark_aligned,standard_field_HA_trial,3-year continuous cropping trial year 1
P02_R02,P02,10.1038/s41598-019-48620-4,2019,peanut pod yield year 2,3412,2867,SE,118,3,0.1742,19.0%,keep,legume,field,commercial,soil_drench,75,partially_aligned,cumulative_soil_priming,Year 2; elevated effect from soil priming; labeled partially_aligned
P02_R03,P02,10.1038/s41598-019-48620-4,2019,peanut pod yield year 3,3598,2845,SE,109,3,0.2349,26.5%,flag,legume,field,commercial,soil_drench,75,partially_aligned,cumulative_soil_priming,Year 3; flagged for high effect; cumulative priming; human review recommended
P03_R01,P03,10.1038/s41598-020-62669-6,2020,maize grain yield (well-watered),8421,7654,SD,623,4,0.0961,10.1%,keep,cereal,field,leonardite,soil_incorporation,4000,benchmark_aligned,standard_field_HA_trial,Well-watered reference condition
P03_R02,P03,10.1038/s41598-020-62669-6,2020,maize grain yield (drought),5234,3897,SD,541,4,0.2944,34.3%,flag,cereal,field,leonardite,soil_incorporation,4000,partially_aligned,stress_amelioration,Drought stress; estimand partially aligned with benchmark; flag for stress subgroup
P03_R03,P03,10.1038/s41598-020-62669-6,2020,maize grain yield (low P),6187,5102,SD,478,4,0.1924,21.2%,keep,cereal,field,leonardite,soil_incorporation,4000,benchmark_aligned,standard_field_HA_trial,P-deficiency treatment; HA improves P availability; acceptable
P04_R02,P04,10.3390/agronomy10091224,2020,wheat grain yield,4127,3541,SE,198,4,0.1537,16.6%,keep,cereal,field,commercial,soil_application,60,benchmark_aligned,standard_field_HA_trial,Primary grain yield; calcareous soil Pakistan
P04_R04,P04,10.3390/agronomy10091224,2020,wheat grain yield,3987,3541,SE,187,4,0.1189,12.6%,keep,cereal,field,commercial,soil_application,30,benchmark_aligned,standard_field_HA_trial,Lower HA dose; dose-response arm
P05_R01,P05,10.1371/journal.pone.0189715,2017,sweet potato tuber yield,31240,27450,SE,1240,4,0.1299,13.8%,keep,root_tuber,field,commercial,soil_application,450,benchmark_aligned,standard_field_HA_trial,High HA+N rate; tuber yield primary outcome
P05_R02,P05,10.1371/journal.pone.0189715,2017,sweet potato tuber yield,29870,27450,SE,1180,4,0.0847,8.8%,keep,root_tuber,field,commercial,soil_application,300,benchmark_aligned,standard_field_HA_trial,Medium rate; dose-response
P05_R03,P05,10.1371/journal.pone.0189715,2017,sweet potato tuber yield,28340,27450,SE,1090,4,0.0320,3.2%,keep,root_tuber,field,commercial,soil_application,150,benchmark_aligned,standard_field_HA_trial,Lowest rate; minimal effect; dose-response endpoint
