claim_key,element,initial_label,label_confidence,label_rationale,paper_id,tissue
001_Ma_2007::Ca::grain,Ca,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,001_Ma_2007,grain
001_Ma_2007::Fe::grain,Fe,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,001_Ma_2007,grain
001_Ma_2007::S::grain,S,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,001_Ma_2007,grain
001_Ma_2007::Zn::grain,Zn,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,001_Ma_2007,grain
006_Azam_2013::C::root,C,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Ca::root,Ca,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Cd::root,Cd,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Cr::root,Cr,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Cu::root,Cu,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Fe::root,Fe,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::H::root,H,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::K::root,K,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Mg::root,Mg,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Mn::root,Mn,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::N::root,N,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Ni::root,Ni,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::Pb::root,Pb,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
006_Azam_2013::S::root,S,clean_support,medium,Consensus-backed claim with no recorded Claude/Kimi disagreement.,006_Azam_2013,root
