gt_row_id,paper_id,verdict,ai_row_id,basis,confidence
gt__study37__pair241,006_Alabdulla_2019_Effect of foliar application of humic ac,AMBIGUOUS,006_Alabdulla_2019_Effect of foliar application of humic ac__ai__0,"humic foliar; GT dose 0.33 = lowest of 3 ranks -> 3 g/l; ContinusStudy=1 -> year 2017-18 (AI Tables 2/3 split by year). AI splits each cell by element (green fodder vs grain) and spraying stage (tillering vs 50% flowering) which GT does not encode; chose AI__0 (3g/l, tillering, fodder, 2017-18) as representative but element/stage are unresolved in GT.",low
gt__study37__pair242,006_Alabdulla_2019_Effect of foliar application of humic ac,AMBIGUOUS,006_Alabdulla_2019_Effect of foliar application of humic ac__ai__1,humic foliar; GT dose 0.67 = middle rank -> 6 g/l; ContinusStudy=1 -> year 2017-18. AI__1 = 6g/l tillering fodder 2017-18 chosen as representative; element (fodder/grain) and stage (tillering/flowering) not encoded in GT.,low
gt__study37__pair243,006_Alabdulla_2019_Effect of foliar application of humic ac,AMBIGUOUS,006_Alabdulla_2019_Effect of foliar application of humic ac__ai__2,humic foliar; GT dose 1 = top rank -> 9 g/l; ContinusStudy=1 -> year 2017-18. AI__2 = 9g/l tillering fodder 2017-18 chosen as representative; element and stage unresolved in GT.,low
gt__study37__pair244,006_Alabdulla_2019_Effect of foliar application of humic ac,AMBIGUOUS,,"humic foliar; GT dose 0.33 -> 3 g/l; ContinusStudy=2 -> year 2018-19. AI Table 3 (2018-19) extracted only rows for 6g/l fodder, 3g/l grain, 6g/l grain (ai__9/10/11); no 3g/l green-fodder 2018-19 row present and GT does not encode element/stage to pick among them.",low
gt__study37__pair245,006_Alabdulla_2019_Effect of foliar application of humic ac,AMBIGUOUS,006_Alabdulla_2019_Effect of foliar application of humic ac__ai__9,humic foliar; GT dose 0.67 -> 6 g/l; ContinusStudy=2 -> year 2018-19. AI__9 = 6g/l tillering green-fodder 2018-19 (Table 3); element/stage not encoded in GT so could also map to a grain cell.,low
gt__study37__pair246,006_Alabdulla_2019_Effect of foliar application of humic ac,AMBIGUOUS,,humic foliar; GT dose 1 -> 9 g/l; ContinusStudy=2 -> year 2018-19. AI Table 3 rows extracted are only 6g/l fodder and 3g/l/6g/l grain; no 9 g/l 2018-19 cell present.,low
gt__study24__pair165,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e,MATCH,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e__ai__0,"seaweed (A. nodosum) foliar, tomato; single dose. GT ContinusStudy=1 -> first season -> AI dry season (ai__0 tomato dry). Crop matches; seaweed/SWE = A.nodosum extract.",med
gt__study24__pair166,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e,MATCH,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e__ai__2,"seaweed foliar, tomato; GT ContinusStudy=2 -> second season -> AI wet season (ai__2 tomato wet). Crop matches.",med
gt__study24__pair167,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e,MATCH,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e__ai__1,"seaweed foliar, sweet pepper; GT ContinusStudy=1 -> first/dry season -> AI ai__1 (sweet pepper dry). Crop matches.",med
gt__study24__pair168,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e,MATCH,009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e__ai__3,"seaweed foliar, sweet pepper; GT ContinusStudy=2 -> second/wet season -> AI ai__3 (sweet pepper wet). Crop matches.",med
