dataset_group,dataset_name,path,role,granularity,label_type,priority,key_artifacts,notes
ground_truth,artificial_ground_truth,"C:\Users\moshe\Dropbox\Testing metaanalyis program\artificial ground truth",controlled ground truth,observation,noisy truth labels,high,"combined_ground_truth_final.csv",Synthetic/manual ground truth for baseline calibration
ground_truth,ground_truth_dryad,"C:\Users\moshe\Dropbox\Testing metaanalyis program\ground truth dryad",published ground truth,observation,external truth labels,high,"Effect+size+data.csv",Published effect-size table
ground_truth,hui2023_full_35,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\hui2023_full_35",matched validation corpus,paper and observation,mismatch and match labels,high,"validation_matches.csv; validation_report.json; per_paper\",Strong low-noise validation set
ground_truth,li2022_combined,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\li2022_combined",matched validation corpus,paper and observation,mismatch and match labels,high,"validation_matches.csv; validation_report.json; per_paper\",Harder provenance/alignment set
ground_truth,loladze_v3_combined,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_v3_combined",matched validation corpus,paper and observation,mismatch and match labels,high,"validation_matches.csv; validation_report_full.json; formal_stats\",Best alignment/matching difficulty set
ground_truth,li2022_source_folder,"C:\Users\moshe\Dropbox\Testing metaanalyis program\Li 2022",source validation bundle,paper and observation,mismatch and failed-match labels,high,"comparison_data.csv; comparison_data_improved.csv; final_consolidated.csv; paper_stats.csv; failed_matches_log.csv",Rich source-side labels and paper stats
pdf_audit,claude_kimi_full_comparison,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison",PDF-grounded second-LLM audit,paper and observation,weak labels and warnings,high,"*_consensus.json; summary.json",Per-paper recon warnings and disagreement structure
pdf_audit,claude_kimi_comparison_full,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_comparison_full",PDF-grounded second-LLM audit,paper and observation,weak labels and warnings,high,"*_consensus.json",Parallel audit family with one JSON per paper
pdf_audit,concordant_error_audit,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output",root-cause audit,case,error taxonomy,high,"concordant_error_audit.md; concordant_error_audit_v2.md",Separates alignment artifacts from extraction limitations
pdf_audit,claude_review,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\model_comparison",small PDF truth check,paper,manual truth judgment,medium,"claude_review.json",Small but explicit PDF-grounded review
cross_model,inter_model_agreement,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\inter_model_agreement",cross-model convergence,observation and paper,agreement labels,high,"pairwise_comparison.csv; agreement_stats.json",Best direct agreement feature source
cross_model,gemini_claude_validation,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\gemini_claude_validation",paired model comparison,paper and observation,agreement labels,high,"results.json",Detailed Claude vs Gemini outputs
cross_model,comparison_sets,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\comparison",paired model comparison,observation,agreement labels,medium,"gemini_observations.csv; kimi_observations.csv; gemini_results.json; kimi_results.json",Earlier comparison run
cross_model,comparison_v2,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\comparison_v2",paired model comparison,observation,agreement labels,medium,"gemini_v2_observations.csv; kimi_v2_observations.csv; agreement_statistics.json",Updated paired comparison run
cross_model,model_comparison,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\model_comparison",agreement/error taxonomy,paper and observation,error-type labels,high,"agreement_analysis.json; disagreement_analysis.json; multi_paper_agreement.json",Contains explicit disagreement categories and swap issues
rerun,replication_agreement,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output",rerun stability,paper and observation,stability labels,high,"replication_agreement.json",Primary run1 vs run2 agreement summary
rerun,hui2023_agent_replication,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\hui2023_agent_replication",rerun stability,paper and observation,stability labels,high,"*.json",Per-paper rerun outputs
rerun,li2022_agent_replication,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\li2022_agent_replication",rerun stability,paper and observation,stability labels,high,"*.json",Per-paper rerun outputs
rerun,loladze_agent_replication,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_agent_replication",rerun stability,paper and observation,stability labels,high,"*.json",Per-paper rerun outputs
rerun,reproducibility_bundle,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output",reproducibility summaries,paper and claim,stability diagnostics,medium,"reproducibility_check.json; reproducibility_results.json; reproducibility\reproducibility_report.md",High-level reproducibility diagnostics
row_audit,row_audit,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\pipeline_replication\codex\outputs\row_audit",row-level semantic audit,row,severity and reason labels,high,"row_audit_summary.json; */row_audit.jsonl; */summary.json",Strong weak supervision labels for row risk
row_audit,codex_decisions,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\pipeline_replication\codex\outputs\codex_decisions",semantic adjudication,row,keep exclude flag labels,high,"universal_adjudication_summary.json; */decisions.jsonl; */summary.json",Adds normalized outcome/intervention/estimand features
row_audit,llm_decisions,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\pipeline_replication\codex\outputs\llm_decisions",LLM vs keyword adjudication,row and topic,decision summaries,medium,"topic_summary.md; summary.md",Useful for topic-level comparison
stress_test,fig_only_validation,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\fig_only_validation",figure-only stress test,paper and observation,hard-case subset,high,"*",Figure-only extraction risk
stress_test,figure_extraction_comparison,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\figure_extraction_comparison",figure extraction stress test,paper and observation,hard-case subset,medium,"*",Vision/figure comparison artifacts
stress_test,kimi_figure_test,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\kimi_figure_test",vision stress test,paper and observation,hard-case subset,medium,"*",Figure sensitivity set
stress_test,kimi_vision_rescue,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\kimi_vision_rescue",vision rescue set,paper and observation,hard-case subset,medium,"*",Cases where vision changed outcome
stress_test,vision_test_2026_02_03,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\vision_test_2026-02-03",vision stress test,paper and observation,hard-case subset,medium,"*",Vision-based extraction subset
stress_test,rerun_worst_gemini3,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\rerun_worst_gemini3",worst-case rerun set,paper and observation,instability hard cases,high,"*",Useful for instability-driven risk features
raw_stash,full_extraction_2026_02_03,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\full_extraction_2026-02-03",raw extraction stash,paper and observation,no direct labels,medium,"*_consensus.json and per-paper files",Useful for reconstructing source rows
raw_stash,full_run_with_swap_detection,"C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\full_run_with_swap_detection",raw extraction stash with swap logic,paper and observation,no direct labels,medium,"per-paper outputs",Useful for swap-risk features
raw_stash,my_pdfs_and_downloaded_papers,"C:\Users\moshe\Dropbox\Testing metaanalyis program\My pdfs",raw extraction stash,paper and observation,no direct labels,low,"extraction_*; Included_Papers\extraction_output",Useful for reconstruction only
