doi,title,year,decision,reason,journal
10.3390/agronomy14122763,"The Impact of Humic Acid Fertilizers on Crop Yield and Nitrogen Use Efficiency: A Meta-Analysis",2024,EXCLUDE,Review/meta-analysis — this is the benchmark paper itself; no primary experiment data,Agronomy
10.1080/01904167.2018.1527932,"Effect of humic acid and fulvic acid based liquid and foliar fertilizers on the yield of wheat crop",2018,UNSURE,HA+FA foliar applied to wheat; yield reported; but HA and FA co-applied in combined liquid formulation; unclear if HA-only arm exists,Journal of Plant Nutrition
10.1016/j.jclepro.2023.137783,"Straw returning combined with controlled-release nitrogen fertilizer affected organic carbon storage and crop yield by changing humic acid composition and aggregate distribution",2023,EXCLUDE,HA is a soil response variable measured after straw+CRF application; intervention is straw not HA application; no HA vs no-HA comparison,Journal of Cleaner Production
10.5513/jcea01/21.2.2576,"Possibility of increasing early crop potato yield with foliar application of seaweed extracts and humic acids",2020,UNSURE,Foliar biostimulants including seaweed AND HA applied to potato; tuber yield reported; HA not isolated from seaweed extract co-application; needs full text to determine if HA-only arm exists,Journal of Central European Agriculture
10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield by Reducing the Nitrogen Loss Compared with Urea",2022,INCLUDE,HA-urea compound vs plain urea on maize-wheat rotation; HA is isolated variable; grain yield and NUE reported; clear T/C structure; acceptable per benchmark spec,Agriculture
10.12692/ijb/6.12.81-89,"Use of coal derived humic acid as soil conditioner for soil physical properties and its impact on wheat crop yield",2015,INCLUDE,Coal-derived HA applied at 0-150 kg/ha to wheat; grain yield reported; HA is isolated treatment variable; control = 0 kg/ha HA; dose-response design,International Journal of Biosciences
10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut: A Three-Year Experiment",2019,INCLUDE,3-year field trial; HA fertilizer vs control on peanut; HA is isolated treatment; control = no HA; Scientific Reports OA,Scientific Reports
10.1186/s40538-017-0089-5,"The role of biostimulants and bioeffectors as alleviators of abiotic stress in crop plants",2017,EXCLUDE,Review article on biostimulants; no primary experiment data,Chemical and Biological Technologies in Agriculture
10.3390/agronomy9060335,"Plant Biostimulants: Importance of the Quality and Yield of Horticultural Crops and the Improvement of Plant Tolerance to Abiotic Stress — A Review",2019,EXCLUDE,Review article on plant biostimulants; no primary yield data,Agronomy
10.3389/fagro.2022.848621,"Understanding the Role of Humic Acids on Crop Performance and Soil Health",2022,EXCLUDE,Review synthesizing HA mechanisms; no primary experiment data,Frontiers in Agronomy
10.3389/fpls.2018.01655,"Synergistic Biostimulatory Action: Designing the Next Generation of Plant Biostimulants for Sustainable Agriculture",2018,EXCLUDE,Review/perspective on biostimulants; no primary yield data,Frontiers in Plant Science
10.30848/pjb2024-3(41),"Response of integrated use of humic acid and chemical fertilizer on growth and yield of rice crop in calcareous soil",2024,UNSURE,HA + K + GA3 applied to rice; grain yield reported; HA co-applied with K and GA3; needs full text to determine if HA is isolated,Pakistan Journal of Botany
