row_id,paper_id,title,year,outcome,outcome_unit,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,sd_treatment,sd_control,se_treatment,se_control,treatment_description,control_description,confidence,source_type,notes,moderators
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::5,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability",2026,Okra number of fruits per plant,count,15.65,16.05,-2.4922118380062326,,,SE,0.5,,,0.5,0.5,Module-II: Organic Farming,Module-III: Conventional Farming,high,table,"Yield attribute, not direct yield. CV% = 6.16.","{'mod_crop_type': 'vegetable', 'mod_crop_species': 'okra (Abelmoschus esculentus)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::6,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability",2026,Cowpea number of pods per plant,count,28.15,29.65,-5.059021922428331,,,SE,0.95,,,0.95,0.95,Module-II: Organic Farming,Module-III: Conventional Farming,high,table,"Yield attribute, not direct yield. CV% = 6.39.","{'mod_crop_type': 'legume', 'mod_crop_species': 'cowpea (Vigna unguiculata)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::7,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,29.4,26.9,9.29368029739777,,,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,"CD(0.05) for production systems = NS in 2011. Pooled across 3 varieties. n per treatment not explicitly stated; split plot design likely 3 reps, so n=9 (3 varieties x 3 reps) per production system mean.","{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 1.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2011.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::8,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,27.2,26.9,1.115241635687735,,,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum 3 kg/ha, phosphobacteria 3 kg/ha, K solubilizer 3 kg/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Organic with biofertilizers treatment. CD(0.05) for production systems = NS in 2011. Pooled across 3 varieties.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 1.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2011.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::9,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,29.24,27.45,6.520947176684879,,,LSD,3.985,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,CD(0.05) = 3.985 t/ha for production systems in 2012 (significant). Organic on par with conventional per text. Pooled across 3 varieties. Abstract states 8% yield enhancement.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::10,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,25.45,27.45,-7.285974499089254,,,LSD,3.985,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Organic with biofertilizers treatment. CD(0.05) = 3.985 t/ha for production systems in 2012. This organic treatment yielded less than conventional.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::11,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,28.06,19.03,47.45139253809773,,,LSD,12.547,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Variety x production system interaction data (2012). CD(0.05) = 12.547 for interaction. H-165 is an industrial variety. Large organic advantage for this variety.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'H-165', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::12,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,34.96,37.68,-7.2186836518046675,,,LSD,12.547,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Variety x production system interaction (2012). Sree Vijaya yielded higher under conventional than organic. Text says varieties on par under both systems.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'Sree Vijaya', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::13,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,24.71,25.63,-3.5895435037065866,,,LSD,12.547,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Variety x production system interaction (2012). Vellayani Hraswa is a domestic variety. Slight conventional advantage.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'Vellayani Hraswa', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::14,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties",2013,Tuber yield,t ha-1,23.51,19.03,23.54177614293221,,,LSD,12.547,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Organic with biofertilizers treatment. Variety x production system interaction (2012). CD(0.05) = 12.547 for interaction.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'H-165', 'mod_year_of_harvest': 2012.0}"
