gt_row_id,paper_id,verdict,ai_row_id,basis,confidence
gt__StudyID1__r0,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__0,"Table 6 Root weight, Biochar 25 t/ha / PM 0 / 2015 cell vs B0PM0 2015 control",high
gt__StudyID1__r1,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__1,"Table 6, Biochar 50 / PM 0 / 2015",high
gt__StudyID1__r2,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__4,"Table 6, Biochar 25 / PM 2.5 / 2015",high
gt__StudyID1__r3,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__6,"Table 6, Biochar 25 / PM 5 / 2015",high
gt__StudyID1__r4,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__5,"Table 6, Biochar 50 / PM 2.5 / 2015",high
gt__StudyID1__r5,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__7,"Table 6, Biochar 50 / PM 5 / 2015",high
gt__StudyID1__r6,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__2,"Table 6, Biochar 25 / PM 0 / 2016",high
gt__StudyID1__r7,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__3,"Table 6, Biochar 50 / PM 0 / 2016",high
gt__StudyID1__r8,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__8,"Table 6, Biochar 25 / PM 2.5 / 2016",high
gt__StudyID1__r9,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__10,"Table 6, Biochar 25 / PM 5 / 2016",high
gt__StudyID1__r10,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__9,"Table 6, Biochar 50 / PM 2.5 / 2016",high
gt__StudyID1__r11,001_Adekiya_2019,MATCH,001_Adekiya_2019__ai__11,"Table 6, Biochar 50 / PM 5 / 2016",high
gt__StudyID16__r0,016_Li_B_2016,MATCH,016_Li_B_2016__ai__1,"Table 5 season1 amaranth N0C1 (C1=20 t/ha biochar, N0)",high
gt__StudyID16__r1,016_Li_B_2016,MATCH,016_Li_B_2016__ai__2,"Table 5 season1 amaranth N0C2 (C2=40 t/ha, N0)",high
gt__StudyID16__r2,016_Li_B_2016,MATCH,016_Li_B_2016__ai__19,Table 5 season1 amaranth N1C1; N1 code (GT per-season 313 = AI annualized 1233 kg N/ha),high
gt__StudyID16__r3,016_Li_B_2016,MATCH,016_Li_B_2016__ai__20,Table 5 season1 amaranth N1C2,high
gt__StudyID16__r4,016_Li_B_2016,MATCH,016_Li_B_2016__ai__37,Table 5 season1 amaranth N2C1; N2 code (GT 417 = AI 1644),high
gt__StudyID16__r5,016_Li_B_2016,MATCH,016_Li_B_2016__ai__38,Table 5 season1 amaranth N2C2,high
gt__StudyID16__r6,016_Li_B_2016,MATCH,016_Li_B_2016__ai__3,Table 5 season2 water_spinach N0C1,high
gt__StudyID16__r7,016_Li_B_2016,MATCH,016_Li_B_2016__ai__4,Table 5 season2 water_spinach N0C2,high
gt__StudyID16__r8,016_Li_B_2016,MATCH,016_Li_B_2016__ai__21,Table 5 season2 water_spinach N1C1,high
gt__StudyID16__r9,016_Li_B_2016,MATCH,016_Li_B_2016__ai__22,Table 5 season2 water_spinach N1C2,high
gt__StudyID16__r10,016_Li_B_2016,MATCH,016_Li_B_2016__ai__39,Table 5 season2 water_spinach N2C1,high
gt__StudyID16__r11,016_Li_B_2016,MATCH,016_Li_B_2016__ai__40,Table 5 season2 water_spinach N2C2,high
gt__StudyID16__r12,016_Li_B_2016,MATCH,016_Li_B_2016__ai__5,Table 5 season3 bok_choy(=pak_choi) N0C1,high
gt__StudyID16__r13,016_Li_B_2016,MATCH,016_Li_B_2016__ai__6,Table 5 season3 bok_choy N0C2,high
gt__StudyID16__r14,016_Li_B_2016,MATCH,016_Li_B_2016__ai__23,Table 5 season3 bok_choy N1C1,high
gt__StudyID16__r15,016_Li_B_2016,MATCH,016_Li_B_2016__ai__24,Table 5 season3 bok_choy N1C2,high
gt__StudyID16__r16,016_Li_B_2016,MATCH,016_Li_B_2016__ai__41,Table 5 season3 bok_choy N2C1,high
gt__StudyID16__r17,016_Li_B_2016,MATCH,016_Li_B_2016__ai__42,Table 5 season3 bok_choy N2C2,high
gt__StudyID16__r18,016_Li_B_2016,MATCH,016_Li_B_2016__ai__11,Table 5 season6 bok_choy(=pak_choi) N0C1,high
gt__StudyID16__r19,016_Li_B_2016,MATCH,016_Li_B_2016__ai__12,Table 5 season6 bok_choy N0C2,high
gt__StudyID16__r20,016_Li_B_2016,MATCH,016_Li_B_2016__ai__29,Table 5 season6 bok_choy N1C1,high
gt__StudyID16__r21,016_Li_B_2016,MATCH,016_Li_B_2016__ai__30,Table 5 season6 bok_choy N1C2,high
gt__StudyID16__r22,016_Li_B_2016,MATCH,016_Li_B_2016__ai__47,Table 5 season6 bok_choy N2C1,high
gt__StudyID16__r23,016_Li_B_2016,MATCH,016_Li_B_2016__ai__48,Table 5 season6 bok_choy N2C2,high
gt__StudyID16__r24,016_Li_B_2016,MATCH,016_Li_B_2016__ai__13,Table 5 season7 amaranth N0C1,high
gt__StudyID16__r25,016_Li_B_2016,MATCH,016_Li_B_2016__ai__14,Table 5 season7 amaranth N0C2,high
gt__StudyID16__r26,016_Li_B_2016,MATCH,016_Li_B_2016__ai__31,Table 5 season7 amaranth N1C1,high
gt__StudyID16__r27,016_Li_B_2016,MATCH,016_Li_B_2016__ai__32,Table 5 season7 amaranth N1C2,high
gt__StudyID16__r28,016_Li_B_2016,MATCH,016_Li_B_2016__ai__49,Table 5 season7 amaranth N2C1,high
gt__StudyID16__r29,016_Li_B_2016,MATCH,016_Li_B_2016__ai__50,Table 5 season7 amaranth N2C2,high
gt__StudyID16__r30,016_Li_B_2016,MATCH,016_Li_B_2016__ai__7,Table 5 season4 coriander N0C1,high
gt__StudyID16__r31,016_Li_B_2016,MATCH,016_Li_B_2016__ai__8,Table 5 season4 coriander N0C2,high
gt__StudyID16__r32,016_Li_B_2016,MATCH,016_Li_B_2016__ai__25,Table 5 season4 coriander N1C1,high
gt__StudyID16__r33,016_Li_B_2016,MATCH,016_Li_B_2016__ai__26,Table 5 season4 coriander N1C2,high
gt__StudyID16__r34,016_Li_B_2016,MATCH,016_Li_B_2016__ai__43,Table 5 season4 coriander N2C1,high
gt__StudyID16__r35,016_Li_B_2016,MATCH,016_Li_B_2016__ai__44,Table 5 season4 coriander N2C2,high
gt__StudyID16__r36,016_Li_B_2016,MATCH,016_Li_B_2016__ai__9,Table 5 season5 water_spinach N0C1,high
gt__StudyID16__r37,016_Li_B_2016,MATCH,016_Li_B_2016__ai__10,Table 5 season5 water_spinach N0C2,high
gt__StudyID16__r38,016_Li_B_2016,MATCH,016_Li_B_2016__ai__27,Table 5 season5 water_spinach N1C1,high
gt__StudyID16__r39,016_Li_B_2016,MATCH,016_Li_B_2016__ai__28,Table 5 season5 water_spinach N1C2,high
gt__StudyID16__r40,016_Li_B_2016,MATCH,016_Li_B_2016__ai__45,Table 5 season5 water_spinach N2C1,high
gt__StudyID16__r41,016_Li_B_2016,MATCH,016_Li_B_2016__ai__46,Table 5 season5 water_spinach N2C2,high
gt__StudyID41__r0,041_Guerena_2013,MATCH,041_Guerena_2013__ai__0,"Table 2 maize grain yield 90% N, 2007, biochar 3 t/ha",high
gt__StudyID41__r1,041_Guerena_2013,MATCH,041_Guerena_2013__ai__1,"Table 2 90% N, 2007, biochar 12 t/ha",high
gt__StudyID41__r2,041_Guerena_2013,MATCH,041_Guerena_2013__ai__2,"Table 2 90% N, 2007, biochar 30 t/ha",high
gt__StudyID41__r3,041_Guerena_2013,MATCH,041_Guerena_2013__ai__4,"Table 2 90% N, 2008, biochar 3 t/ha",high
gt__StudyID41__r4,041_Guerena_2013,MATCH,041_Guerena_2013__ai__5,"Table 2 90% N, 2008, biochar 12 t/ha",high
gt__StudyID41__r5,041_Guerena_2013,MATCH,041_Guerena_2013__ai__6,"Table 2 90% N, 2008, biochar 30 t/ha",high
gt__StudyID41__r6,041_Guerena_2013,MATCH,041_Guerena_2013__ai__8,"Table 2 90% N, 2009, biochar 3 t/ha",high
gt__StudyID41__r7,041_Guerena_2013,MATCH,041_Guerena_2013__ai__9,"Table 2 90% N, 2009, biochar 12 t/ha",high
gt__StudyID41__r8,041_Guerena_2013,MATCH,041_Guerena_2013__ai__10,"Table 2 90% N, 2009, biochar 30 t/ha",high
gt__StudyID41__r9,041_Guerena_2013,MATCH,041_Guerena_2013__ai__12,"Table 2 90% N, 2010, biochar 3 t/ha",high
gt__StudyID41__r10,041_Guerena_2013,MATCH,041_Guerena_2013__ai__13,"Table 2 90% N, 2010, biochar 12 t/ha",high
gt__StudyID41__r11,041_Guerena_2013,MATCH,041_Guerena_2013__ai__14,"Table 2 90% N, 2010, biochar 30 t/ha",high
gt__StudyID63__r0,063_Asai_2009,MATCH,063_Asai_2009__ai__7,"Table 3 Exp1 HK1 Vieng No-N, biochar 4 t/ha vs control: AI__7 = HK1 Vieng No N rate 4",high
gt__StudyID63__r1,063_Asai_2009,MATCH,063_Asai_2009__ai__8,"Table 3 Exp1 HK1 Vieng No-N, biochar 8 t/ha; AI__8 = HK1 Vieng No N rate 8",high
gt__StudyID63__r2,063_Asai_2009,MATCH,063_Asai_2009__ai__9,"Table 3 Exp1 HK1 Vieng No-N, biochar 16 t/ha; AI__9 = HK1 Vieng No N rate 16",high
gt__StudyID63__r3,063_Asai_2009,MATCH,063_Asai_2009__ai__10,"Table 3 Exp1 HK1 Vieng N(50), biochar 4 t/ha; AI__10 = HK1 Vieng N(50) rate 4",high
gt__StudyID63__r4,063_Asai_2009,MATCH,063_Asai_2009__ai__11,"Table 3 Exp1 HK1 Vieng N(50), biochar 8 t/ha; AI__11 = HK1 Vieng N(50) rate 8",high
gt__StudyID63__r5,063_Asai_2009,MATCH,063_Asai_2009__ai__12,"Table 3 Exp1 HK1 Vieng N(50), biochar 16 t/ha; AI__12 = HK1 Vieng N(50) rate 16",high
gt__StudyID63__r6,063_Asai_2009,MATCH,063_Asai_2009__ai__2,"Table 3 Exp1 HK1 Apo No-N, biochar 8 t/ha; AI__2 = HK1 Apo No N rate 8",high
gt__StudyID63__r7,063_Asai_2009,MATCH,063_Asai_2009__ai__3,"Table 3 Exp1 HK1 Apo No-N, biochar 16 t/ha; AI__3 = HK1 Apo No N rate 16",high
gt__StudyID63__r8,063_Asai_2009,NO_MATCH,,"Table 3 Exp1 LO1 Vieng N(50) biochar 4; AI extracted only HK1 site cells, no LO1 rows",high
gt__StudyID63__r9,063_Asai_2009,NO_MATCH,,Table 3 Exp1 LO1 Vieng N(50) biochar 8; AI has no LO1 rows,high
gt__StudyID63__r10,063_Asai_2009,NO_MATCH,,Table 3 Exp1 LO1 Vieng N(50) biochar 16; AI has no LO1 rows,high
gt__StudyID63__r11,063_Asai_2009,NO_MATCH,,Table 3 Exp1 LO1 Apo No-N biochar 4; AI has no LO1 rows,high
gt__StudyID63__r12,063_Asai_2009,NO_MATCH,,Table 3 Exp1 LO1 Apo No-N biochar 8; AI has no LO1 rows,high
gt__StudyID63__r13,063_Asai_2009,NO_MATCH,,Table 3 Exp1 LO1 Apo No-N biochar 16; AI has no LO1 rows,high
